序号,招聘信息ID,企业名称,招聘岗位,招聘人数,工作经验,最低工资,最高工资,工作性质,工资结算方式,招聘信息发布时间,招聘信息更新时间,职位关键词,学历要求,企业类型,企业人数规模,企业所在行业,工作地点,工作地点省编码,工作地点市编码,工作地点区编码
1,1648527394191052802,众云网,售前技术支持,6,不限,12000,20000,2,1,2023-04-19 11:25,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
2,1648527394191052801,众云网,数据安全高级经理,10,不限,16000,26000,2,1,2023-04-19 11:26,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
3,1648527394191052800,众云网,数据安全项目经理,100,不限,15000,25000,2,1,2023-04-19 11:27,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
4,1648165203084447745,森羽网络,数据挖掘工程师,5,不限,5000,8000,2,1,2023-04-18 11:35,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
5,1648165203084447744,森羽网络,数据管理,6,不限,3500,6000,2,1,,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
6,1648165203080253441,森羽网络,算法工程师,10,不限,5000,8000,2,1,,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
7,1648165203080253440,森羽网络,数据标注员,100,不限,2500,7000,2,1,2023-04-18 11:34,2023-04-18 11:23,互联网/大数据,2,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
8,1631112859985510400,海柔创新科技,会计实习生,2,不限,3500,7000,2,1,,2023-03-02 10:03,互联网/人工智能,2,合资,150-500人,电子商务/互联网,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),440000,440300,440306
9,1631112859897430016,海柔创新科技,技术服务工程师,5,不限,5000,10000,2,1,,2023-03-02 10:03,互联网/人工智能,2,合资,150-500人,电子商务/互联网,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),440000,440300,440306
10,1629824814967554048,太普软件,大数据分析师（BI）,1,不限,4500,7000,2,1,,2023-02-26 20:44,互联网/软件,3,民营公司,50-100人,互联网/软件,广州市天河区高普路1023号1楼101室自编23号,440000,440100,440106
11,1613439889204969472,奇之,自然语言处理工程师,0,经验不限,2000,4000,0,1,2023-01-12 15:37,2023-01-12 15:37,自然语言,3,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
12,1613439536044572672,奇之,爬虫工程师,0,经验不限,2000,4000,0,1,2023-01-12 15:35,2023-01-12 15:35,Python/爬虫框架,3,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
13,1613439183576236032,奇之,Python/django后台开发工程师,0,经验不限,2000,4000,0,1,2023-01-12 15:34,2023-01-12 15:34,Python/django/后台开发,3,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
14,1613434566444449792,奇之,团队运营管理实习生,0,经验不限,2000,4000,0,1,2023-01-12 15:15,2023-01-12 15:15,运营,3,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
15,1613433907498319872,奇之,技术文章撰写实习生,0,经验不限,2000,4000,0,1,2023-01-12 15:13,2023-01-12 15:13,技术文章撰写,3,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
16,1613431494808829952,奇之,创新俱乐部成员,0,经验不限,2000,4000,0,1,2023-01-12 15:03,2023-01-12 15:03,产品设计,0,民营公司,50-100人,互联网/数据服务, 广州大学城(大学城北)创智园3栋4楼,440000,440100,440113
17,1605028222989369345,软帝联合,解决方案,1,不限,30000,40000,2,1,,2022-12-20 10:32,互联网/软件,3,上市公司,500-1000人,互联网/软件,湖北省武汉市洪山区文化路53号,420000,420100,420111
18,1605028222989369344,软帝联合,产品总监,1,不限,20000,35000,2,1,,2022-12-20 10:32,互联网/软件,3,上市公司,500-1000人,互联网/软件,湖北省武汉市洪山区文化路53号,420000,420100,420111
19,1605028222985175041,软帝联合,大数据架构师,1,不限,25000,50000,2,1,,2022-12-20 10:32,互联网/软件,3,上市公司,500-1000人,互联网/软件,湖北省武汉市洪山区文化路53号,420000,420100,420111
20,1605028222985175040,软帝联合,大数据系统分析师,2,5-10年,25000,40000,2,1,,2022-12-20 10:32,互联网/软件,3,上市公司,500-1000人,互联网/软件,湖北省武汉市洪山区文化路53号,420000,420100,420111
21,1604731457065058306,四川中软国际,AI类数据标注,30,不限,3500,8000,2,1,,2022-12-19 14:52,互联网/软件,2,上市公司,500-1000人,互联网/软件,四川省宜宾市临港经开区白沙湾街道国兴大道沙坪路段9号数据中心801-32号,510000,511500,511502
22,1604731457065058305,四川中软国际,大数据开发工程师,20,不限,3500,8000,2,1,,2022-12-19 14:52,互联网/软件,3,上市公司,500-1000人,互联网/软件,四川省宜宾市临港经开区白沙湾街道国兴大道沙坪路段9号数据中心801-32号,510000,511500,511502
23,1604731457065058304,四川中软国际,数据产品经理,10,不限,3500,8000,2,1,,2022-12-19 14:52,互联网/软件,3,上市公司,500-1000人,互联网/软件,四川省宜宾市临港经开区白沙湾街道国兴大道沙坪路段9号数据中心801-32号,510000,511500,511502
24,1604731457060864000,四川中软国际,数据工程师,30,不限,3500,8000,2,1,,2022-12-19 14:52,互联网/软件,3,上市公司,500-1000人,互联网/软件,四川省宜宾市临港经开区白沙湾街道国兴大道沙坪路段9号数据中心801-32号,510000,511500,511502
25,1603244028852305920,悠易互通,高级大数据开发工程师 Hadoop Hive,3,不限,20000,35000,2,1,,2022-12-15 12:22,互联网/广告,3,民营公司,10000人以上,互联网/广告,北京市朝阳区光华东里8号院3号楼11层1101内05、06、08、09、10、11、12、15、16单元,110000,110000,110105
26,1602499965781934080,中电福富,数据标注工程师,30,不限,6000,8000,2,1,,2022-12-13 11:05,互联网/大数据,3,民营公司,10000人以上,互联网/大数据,福州市鼓楼区软件大道509号,350000,350100,350102
27,1599949951281004544,极能信息,数据挖掘工程师,3,不限,6000,8000,2,1,,2022-12-06 10:12,互联网/大数据,3,民营公司,少于50人,互联网/大数据,广州市黄埔区起云路8号5栋418房,440000,440100,440106
28,1594673737184182272,博纳德集团,python工程师,20,不限,4500,6000,2,1,,2022-11-21 20:47,互联网/大数据,3,上市公司,1000-5000人,互联网/大数据,天河区高唐路228号伯纳德集团1楼,440000,440100,440106
29,1588392444226043904,凯普,数据实施实习生,2,1-3年,10000,15000,2,1,,2022-11-04 12:47,互联网/软件,3,民营公司,150-500人,互联网/软件,广东广州,,,
30,1585550146098298880,蓝创,数据分析师,2,1-3年,10000,15000,2,1,,2022-10-27 16:33,互联网/软件,3,民营公司,500-1000人,互联网/软件,蠡湖大道2018号8号楼1-5层,320000,320200,320211
31,1582578771930775553,偏爱服饰,数据产品经理,2,3-5年,20000,30000,2,1,,2022-10-19 11:45,互联网/服饰,3,民营公司,150-500人,互联网/服饰,钟村街谢村谢石公路66号D座二楼整层及三楼101,440000,440100,440113
32,1582578771930775552,偏爱服饰,数据分析师,3,1-3年,7000,9000,2,1,,2022-10-19 11:45,互联网/服饰,3,民营公司,150-500人,互联网/服饰,钟村街谢村谢石公路66号D座二楼整层及三楼101,440000,440100,440113
33,1579049754338394112,谷乐科技,大数据开发工程师,2,1-3年,12000,20000,2,1,,2022-10-09 18:02,互联网/软件,3,民营公司,50-100人,互联网/软件,浙江杭州,,,
34,1578672658197905408,太平鸟,数据分析师,2,1-3年,12000,20000,2,1,,2022-10-08 17:04,互联网/服饰,3,上市公司,10000人以上,互联网/服饰,古林镇鄞县大道古林段1号三楼南面办公室,330000,330200,330203
35,1574966005367701504,南华期货,交易风控员,2,经验不限,6000,10000,2,1,,2022-09-28 11:35,互联网/金融,3,民营公司,10000人以上,互联网/金融,横店大厦301室,330000,330100,330102
36,1574966005363507200,南华期货,大数据开发工程师,3,经验不限,10000,15000,2,1,,2022-09-28 11:35,互联网/金融,3,民营公司,10000人以上,互联网/金融,横店大厦301室,330000,330100,330102
37,1574931491241197569,派兰数据,数据分析师,2,经验不限,8000,15000,2,1,,2022-09-28 09:18,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
38,1574931491241197568,派兰数据,数据工程师,3,经验不限,10000,12000,2,1,,2022-09-28 09:18,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
39,1574928422227017728,派兰数据,数据工程师,3,经验不限,10000,12000,2,1,,2022-09-28 09:06,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
40,1574927900380102656,派兰数据,数据工程师,3,经验不限,10000,12000,2,1,,2022-09-28 09:04,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
41,1573262184346157058,海尔,大数据工程师,3,经验不限,12000,15000,2,1,,2022-09-23 18:45,互联网/家电,3,上市公司,10000人以上,互联网/家电,山东省青岛市,,,
42,1573262184346157057,海尔,数据分析经理,2,3-5年,9000,13000,2,1,,2022-09-23 18:45,互联网/家电,3,上市公司,10000人以上,互联网/家电,山东省青岛市,,,
43,1573262184346157056,海尔,数据分析员,2,1-3年,7500,10000,2,1,,2022-09-23 18:45,互联网/家电,3,上市公司,10000人以上,互联网/家电,山东省青岛市,,,
44,1572850247011532801,云徙智能,大数据开发实习生,3,经验不限,4500,6000,2,1,,2022-09-22 15:28,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
45,1572850247011532800,漪畔网络,数仓开发,2,经验不限,4500,6000,2,1,,2022-09-22 15:28,互联网/大数据,3,民营公司,少于50人,互联网/大数据,广东省广州市,,,
46,1572850247007338496,云徙智能,实施工程师,2,1-3年,3000,5000,2,1,,2022-09-22 15:28,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
47,1570688591800172545,玉珏网络,高级业务架构师,2,经验不限,10000,11000,2,1,,2022-09-16 16:18,互联网/电商,3,民营公司,50-100人,互联网/大数据,贵州省贵阳市,,,
48,1570688591800172544,玉珏网络,数据开发工程师,2,1-3年,15000,20000,2,1,,2022-09-16 16:18,互联网/电商,3,民营公司,50-100人,互联网/大数据,贵州省贵阳市,,,
49,1569585390216675328,派兰数据,数据分析师,2,经验不限,8000,15000,2,1,,2022-09-13 15:14,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
50,1569585390212481024,派兰数据,数据工程师,3,经验不限,10000,12000,2,1,,2022-09-13 15:14,互联网/大数据,3,民营公司,150-500人,互联网/大数据,中国(上海)自由贸易试验区祥科路58号2幢5层B区524室,310000,310000,310115
51,1568156705815134209,东华软件,Data Governance数据治理,2,经验不限,20000,25000,2,1,,2022-09-09 16:37,互联网/软件,3,民营公司,1000-5000人,互联网/软件,四川省成都市,,,
52,1568156705815134208,东华软件,数据分析师,3,经验不限,20000,25000,2,1,,2022-09-09 16:37,互联网/软件,3,民营公司,1000-5000人,互联网/软件,四川省成都市,,,
53,1567747885691437056,粤烽泰卓,电商运营助理,1,经验不限,4500,7000,2,1,,2022-09-08 13:33,互联网/电子商务,2,民营公司,50-100人,互联网/电子商务,广东省广州市,,,
54,1567747885687242752,粤烽泰卓,数据分析师助理,2,经验不限,4500,6000,2,1,,2022-09-08 13:33,互联网/电子商务,2,民营公司,50-100人,互联网/电子商务,广东省广州市,,,
55,1566973716963917825,唐普,数据开发,1,经验不限,8000,12000,2,1,,2022-09-06 10:17,互联网/软件,3,民营公司,150-500人,互联网/软件,山东省泰州市,,,
56,1566973716963917824,唐普,数据报表开发,2,经验不限,8000,10000,2,1,,2022-09-06 10:17,互联网/软件,3,民营公司,150-500人,互联网/软件,北京市,,,
57,1566635553703723008,宏链易安,数据分析员,2,1-3年,7000,10000,2,1,,2022-09-05 11:53,互联网/电子商务,3,民营公司,50-100人,互联网/电子商务,四川省成都市,,,
58,1565544666676461569,万宝盛华,ETL开发工程师,3,经验不限,15000,30000,2,1,,2022-09-02 11:38,互联网/软件,3,民营公司,1000-5000人,互联网/软件,广东省珠海市,,,
59,1565544666676461568,万宝盛华,数据处理员,5,1-3年,8000,12000,2,1,,2022-09-02 11:38,互联网/软件,3,民营公司,1000-5000人,互联网/软件,北京市海淀区,,,
60,1565240659105939457,彩讯科技,运维部-Mysql-DBA,3,经验不限,15000,30000,2,1,,2022-09-01 15:30,互联网/软件,3,民营公司,1000-5000人,互联网/软件,广东省广州市,,,
61,1565240659105939456,彩讯科技,数据分析师,5,1-3年,8000,12000,2,1,,2022-09-01 15:30,互联网/软件,3,民营公司,1000-5000人,互联网/软件,广东省广州市,,,
62,1564534693704105985,泓运荣昇,大数据运营实习生,3,经验不限,4000,6000,2,1,,2022-08-30 16:45,互联网/软件,3,民营公司,50-100人,互联网/软件,广东省深圳市,,,
63,1564534693704105984,泓运荣昇,大数据分析实习生,5,经验不限,4000,6000,2,1,,2022-08-30 16:45,互联网/软件,3,民营公司,50-100人,互联网/软件,广东省深圳市,,,
64,1564134750673829888,美易物流,渠道运营总监,2,5-7年,40000,70000,2,1,,2022-08-29 14:15,互联网/物流,2,民营公司,50-100人,互联网/物流,广东省深圳市,,,
65,1564134750669635584,美易物流,数字化创新人才,2,3-5年,15000,25000,2,1,,2022-08-29 14:15,互联网/物流,3,民营公司,50-100人,互联网/物流,广东省深圳市,,,
66,1562373753655132161,中银信息,银行数据分析师,2,经验不限,15000,30000,2,1,,2022-08-24 17:38,互联网/金融,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
67,1562373753655132160,中银信息,高级数据分析师,2,5-7年,15000,30000,2,1,,2022-08-24 17:38,互联网/金融,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
68,1561971141940215809,漪畔网络,数据分析师,2,经验不限,10000,11000,2,1,,2022-08-23 14:58,互联网/电商,3,民营公司,少于50人,互联网/大数据,广东省广州市,,,
69,1561971141940215808,漪畔网络,亚马逊数据分析师,2,1-3年,12000,15000,2,1,,2022-08-23 14:58,互联网/电商,3,民营公司,少于50人,互联网/大数据,广东省广州市,,,
70,1561676702764105729,迪诺科技,数据分析助理初级,5,经验不限,6000,9000,2,1,,2022-08-22 19:28,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
71,1561676702764105728,迪诺科技,数据分析师,2,1-3年,6000,12000,2,1,,2022-08-22 19:28,大数据/互联网,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
72,1559731106436218880,京信数据,销售经理,5,3-5年,10000,20000,2,1,,2022-08-17 10:37,互联网/大数据,2,民营公司,150-500人,互联网/大数据,广东省中山市,,,
73,1559731106432024576,京信数据,数据分析师,2,1-3年,8000,10000,2,1,,2022-08-17 10:37,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省中山市,,,
74,1559484302188740609,徽创信息,数据开发工程师,1,3-5年,10000,15000,2,1,,2022-08-16 18:16,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省珠海市,,,
75,1559484302188740608,金百泽,ETL开发工程师,1,1-3年,10000,20000,2,1,,2022-08-16 18:16,互联网/通讯,3,民营公司,500-1000人,互联网/通讯,广东省惠州市,,,
76,1558010601740042240,金百泽,数据开发工程师,1,3-5年,15000,20000,2,1,,2022-08-12 16:40,互联网/通讯,3,民营公司,500-1000人,互联网/通讯,北京市,,,
77,1558010601735847936,金百泽,ETL开发工程师,1,1-3年,10000,20000,2,1,,2022-08-12 16:40,互联网/通讯,3,民营公司,500-1000人,互联网/通讯,广东省惠州市,,,
78,1557673013896413185,玉扳手,互联网产品经理,1,3-5年,12000,20000,2,1,,2022-08-11 18:19,互联网/电商,3,民营公司,500-1000人,互联网/电商,广东省佛山市,,,
79,1557673013896413184,玉扳手,数据分析员,3,1-3年,4500,6000,2,1,,2022-08-11 18:19,互联网/电商,3,民营公司,500-1000人,互联网/电商,广东省佛山市,,,
80,1556934209443069952,海吉星,产业链数字专员,3,1-3年,4500,6000,2,1,,2022-08-09 17:23,互联网/物流,3,民营公司,500-1000人,互联网/物流,广东省惠州市,,,
81,1556545875319324672,广电计量,数字化工程师,3,1-3年,7000,9000,2,1,,2022-08-08 15:40,互联网/计量,3,民营公司,10000人以上,互联网/计量,四川省成都市,,,
82,1556465022673223680,悟空网络,电商战略分析师,1,1-3年,15000,25000,2,1,,2022-08-08 10:19,互联网/电商,3,民营公司,50-100人,互联网/电商,广东省广州市,,,
83,1556465022669029376,悟空网络,商业数据分析师,3,1-3年,10000,15000,2,1,,2022-08-08 10:19,互联网/电商,3,民营公司,50-100人,互联网/电商,广东省广州市,,,
84,1555102215444758529,格来德,工程师助理,1,1-3年,5000,9000,2,1,,2022-08-04 16:03,互联网/家居,2,民营公司,150-500人,互联网/大数据,广东省广州市,,,
85,1555102215444758528,格来德,数据分析员,3,1-3年,4000,6000,2,1,,2022-08-04 16:03,互联网/家居,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
86,1555095262987419648,腾劲网络,数据运营专员,1,1-3年,7000,10000,2,1,,2022-08-04 15:36,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省深圳市,,,
87,1555095262983225344,腾劲网络,数据分析师,3,1-3年,6000,10000,2,1,,2022-08-04 15:36,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省深圳市,,,
88,1554023803397472256,康佳,语音前端算法研发工程师  ,1,3-5年,20000,30000,2,1,,2022-08-01 16:38,互联网/电子信息,5,国企,10000人以上,互联网/电子信息,广东省深圳市,440000,440300,440303
89,1554023803393277952,康佳,数据分析助理工程师,3,1-3年,19000,30000,2,1,,2022-08-01 16:38,互联网/电子信息,3,国企,10000人以上,互联网/电子信息,广东省深圳市,440000,440300,440303
90,1552975408281026560,欧派,遗留判定分析工程师,5,经验不限,5000,8000,2,1,,2022-07-29 19:12,互联网/家居,3,上市公司,10000人以上,互联网/家居,广东省广州市,,,
91,1552975408276832256,欧派,遗留数据分析专员,3,1-3年,6000,7000,2,1,,2022-07-29 19:12,互联网/家居,3,上市公司,10000人以上,互联网/家居,广东省广州市,,,
92,1551808344774279168,稷生,前端工程师,5,经验不限,5000,8000,2,1,,2022-07-26 13:55,互联网/软件,3,民营公司,150-500人,互联网/软件,广东省广州市,,,
93,1551808344770084864,稷生,Python爬虫工程师,3,经验不限,4500,8000,2,1,,2022-07-26 13:55,互联网/软件,3,民营公司,150-500人,互联网/软件,广东省广州市,,,
94,1551793389706543105,凯捷,数据分析师,50,经验不限,5000,8000,2,1,,2022-07-26 12:55,互联网/软件,3,民营公司,5000-10000人,互联网/软件,沈阳 昆山,,,
95,1551793389706543104,凯捷,技术后端,30,经验不限,4500,8000,2,1,,2022-07-26 12:55,互联网/软件,3,民营公司,5000-10000人,互联网/软件,沈阳 昆山,,,
96,1551507309048496128,华彩智云,数据实施工程师,2,1-3年,20000,30000,2,1,2022-07-26 10:25,2022-07-26 10:25,互联网/大数据,3,民营公司,150-500人,互联网/大数据,广东省广州市,,,
97,1549270148198825984,华胥科技,数据分析助理,2,1-3年,6000,8000,2,1,2022-07-26 10:25,2022-07-26 10:25,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,中山大道东路280号南丰创荟.大湾区智慧产业园3399房,440000,440100,440112
98,1551740730014302209,广东数业,NLP算法研究员,3,经验不限,26000,44000,2,1,,2022-07-26 09:26,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
99,1551740730014302208,广东数业,数据处理工程师,2,经验不限,29000,35000,2,1,,2022-07-26 09:26,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
100,1551739682566569985,广东数业,NLP算法研究员,3,经验不限,26000,44000,2,1,,2022-07-26 09:22,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
101,1551739682566569984,广东数业,数据处理工程师,2,经验不限,29000,35000,2,1,,2022-07-26 09:22,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
102,1551739421710221313,广东数业,NLP算法研究员,3,经验不限,26000,44000,2,1,,2022-07-26 09:21,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
103,1551739421710221312,广东数业,数据处理工程师,2,经验不限,29000,35000,2,1,,2022-07-26 09:21,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广东省广州市,,,
104,1549270148198825985,华胥科技,数据运营,3,3-5年,8000,12000,2,1,2022-07-22 16:23,2022-07-22 16:23,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,中山大道东路280号南丰创荟.大湾区智慧产业园3399房,440000,440100,440112
105,1549669899390025728,天符教育,大数据分析师,2,1-3年,20000,30000,2,1,2022-07-22 16:22,2022-07-22 16:22,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,中国（四川）自由贸易试验区成都高新区天府大道中段688号3栋5层05009号,510000,510100,510107
106,1549231524551983104,广东数业,数据处理工程师,2,经验不限,29000,35000,2,1,2023-01-31 10:37,2022-07-19 11:29,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广州市黄埔区科学大道绿地中央广场 C4 栋 301 房,440000,440100,440106
107,1549231524551983105,广东数业,NLP算法研究员,3,经验不限,26000,44000,2,1,2023-01-31 10:45,2022-07-19 11:29,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广州市黄埔区科学大道绿地中央广场 C4 栋 301 房,440000,440100,440106
108,1542733237841952768,广州芊之美服饰,商品数据分析专员,3,经验不限,5000,10000,2,1,2022-07-19 11:27,2022-07-19 11:27,互联网/电商,2,民营公司,50-100人,互联网/电商,广州市白云区棠景街棠溪棠新西街54号三楼东侧,440000,440100,440111
109,1542733237841952769,广州芊之美服饰,区域督导,3,3-5年,9000,13000,2,1,2022-07-19 11:27,2022-07-19 11:27,互联网/电商,2,民营公司,50-100人,互联网/电商,广州市白云区棠景街棠溪棠新西街54号三楼东侧,440000,440100,440111
110,1547872363733975041,南方数码,数据处理实习生,25,经验不限,2500,2600,0,1,2022-07-19 10:45,2022-07-19 10:45,互联网/大数据,2,民营公司,500-1000人,互联网/大数据,广州市天河区科韵路24、26号四楼,440000,440100,440106
111,1547872363733975040,南方数码,数据分析实习生,5,经验不限,2500,3500,0,1,2022-07-19 10:44,2022-07-19 10:44,互联网/大数据,3,民营公司,500-1000人,互联网/大数据,广州市天河区科韵路24、26号四楼,440000,440100,440106
112,1547141682221416448,云百迅,地图数据加工处理专员,10,经验不限,3500,6500,2,1,2022-07-19 10:43,2022-07-19 10:43,互联网/大数据,2,民营公司,500-1000人,互联网/大数据,广东省佛山市,,,
113,1547141682217222144,云百迅,AI数据标注师,20,经验不限,3000,6000,2,1,2022-07-19 10:43,2022-07-19 10:43,互联网/大数据,2,民营公司,500-1000人,互联网/大数据,广东省佛山市,,,
114,1546677462266675200,云铂科技,数据分析初级,7,经验不限,7000,12000,2,1,2022-07-19 09:57,2022-07-19 09:57,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省广州市,,,
115,1546677462262480896,云铂科技,BI数据分析师助理,2,经验不限,8000,11000,2,1,2022-07-19 09:56,2022-07-19 09:56,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省广州市,,,
116,1546677229352779776,嘉盛达,数据治理工程师,3,经验不限,6000,8000,2,1,2022-07-19 09:55,2022-07-19 09:55,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省广州市,,,
117,1546677229344391168,嘉盛达,电网数据分析实习生 ,3,经验不限,5000,10000,0,1,2022-07-19 09:54,2022-07-19 09:54,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省广州市,,,
118,1542028331946475521,京易无忧,电商数据分析师,3,1-3年,9000,13000,2,1,,2022-06-29 14:12,互联网/大数据,3,民营公司,50-100人,互联网/大数据,广东省广州市,,,
119,1542028331946475520,京易无忧,计算机大数据推广专员,60,经验不限,5000,10000,2,1,,2022-06-29 14:12,互联网/大数据,2,民营公司,50-100人,互联网/大数据,广东省广州市,,,
120,1541254101239726081,活树信息,视频数据标注,15,经验不限,2800,3000,2,1,,2022-06-27 10:56,互联网/大数据,0,民营公司,150-500人,互联网/大数据,广东省广州市,,,
121,1541254101239726080,活树信息,运维工程师（大数据）,25,经验不限,7000,12000,2,1,,2022-06-27 10:56,互联网/大数据,1,民营公司,150-500人,互联网/大数据,广东省广州市,,,
122,1540226891166908418,优品尚兴,数据分析师,2,1-3年,8000,12000,2,1,,2022-06-24 14:54,互联网/电商,3,民营公司,50-100人,互联网/电商,广东省广州市,,,
123,1540226891166908417,优品尚兴,在线客服,10,3-5年,13000,20000,2,1,,2022-06-24 14:54,互联网/电商,0,民营公司,50-100人,互联网/电商,广东省广州市,,,
124,1540226891166908416,优品尚兴,选品员,25,经验不限,3500,6000,2,1,,2022-06-24 14:54,互联网/电商,1,民营公司,50-100人,互联网/电商,广东省广州市,,,
125,1539817715076825090,科慧信息,web前端开发工程师,2,1-3年,8000,12000,2,1,,2022-06-23 11:48,互联网/通信,3,上市公司,1000-5000人,互联网/通信,广东省广州市,,,
126,1539817715076825089,科慧信息,商务拓展（BD）总监,10,3-5年,13000,20000,2,1,,2022-06-23 11:48,互联网/通信,0,上市公司,1000-5000人,互联网/通信,广东省广州市,,,
127,1539817715076825088,科慧信息,"中国移动10086客户服务代表
",25,经验不限,3500,6000,2,1,,2022-06-23 11:48,互联网/通信,1,上市公司,1000-5000人,互联网/通信,广东省广州市,,,
128,1539456406367895555,振扬信息,电商数据分析,1,3-5年,15000,20000,2,1,,2022-06-22 11:53,互联网/电商,3,民营公司,150-500人,互联网/电商,广东省广州市,,,
129,1539456406367895554,振扬信息,天猫运营,2,经验不限,8000,10500,2,1,,2022-06-22 11:53,互联网/电商,2,民营公司,150-500人,互联网/电商,广东省广州市,,,
130,1539456406367895553,振扬信息,运营助理,10,经验不限,3000,4500,2,1,,2022-06-22 11:53,互联网/电商,2,民营公司,150-500人,互联网/电商,广东省广州市,,,
131,1539456406367895552,振扬信息,在线客服,25,经验不限,3500,6000,2,1,,2022-06-22 11:53,互联网/电商,2,民营公司,150-500人,互联网/电商,广东省广州市,,,
132,1539449854449811457,易康思萌,电商数据分析师,2,1-3年,8000,12000,2,1,,2022-06-22 11:27,互联网/电商,3,上市公司,150-500人,互联网/电商,广东省广州市,,,
133,1539449854449811456,易康思萌,电商客服,20,经验不限,3500,6000,2,1,,2022-06-22 11:27,互联网/电商,2,上市公司,150-500人,互联网/电商,广东省广州市,,,
134,1537622545719754753,日立电梯,机器学习算法研发工程师（嵌入式软件）,1,3-5年,20000,30000,2,1,,2022-06-17 10:25,互联网/机械,3,民营公司,10000人以上,互联网/机械,广东省广州市,,,
135,1537622545719754752,日立电梯,大数据开发工程师,2,3-5年,15000,20000,2,1,,2022-06-17 10:25,互联网/机械,3,民营公司,10000人以上,互联网/机械,广东省广州市,,,
136,1537270370250391553,方圆地产,成本预算工程师,3,3-5年,10000,13000,2,1,,2022-06-16 11:06,互联网/地产,3,民营公司,10000人以上,互联网/地产,广东省广州市,,,
